"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Prices of 2015";"2010 1st quarter";"  257208";"  162614";"   95051";"   70770";"   24222";"  257208";"  148372";"  117653";"   76265";"   41401";"   30866";"   24205";"    6674";"    -224";"  109562";"   84822";"   24468"
"Prices of 2015";"2010 2nd quarter";"  269039";"  167428";"  102434";"   74130";"   27152";"  269039";"  158111";"  122338";"   77562";"   44778";"   33802";"   26449";"    7381";"    1833";"  111318";"   84723";"   26485"
"Prices of 2015";"2010 3rd quarter";"  263253";"  163009";"  100764";"   72650";"   27998";"  263253";"  150599";"  120728";"   78675";"   42054";"   29265";"   22732";"    6530";"     663";"  113154";"   86824";"   26140"
"Prices of 2015";"2010 4th quarter";"  276755";"  171710";"  105741";"   77597";"   27999";"  276755";"  154736";"  123436";"   77433";"   46009";"   31138";"   24173";"    6980";"     251";"  122484";"   93844";"   28442"
"Prices of 2015";"2010";" 1066248";"  664765";"  404084";"  295165";"  107399";" 1066248";"  611803";"  484157";"  309932";"  174232";"  125275";"   97775";"   27568";"    2529";"  456509";"  350219";"  105528"
"Prices of 2015";"2011 1st quarter";"  270473";"  167112";"  103758";"   77573";"   26105";"  270473";"  151469";"  118279";"   76988";"   41311";"   33504";"   26525";"    6974";"    -549";"  119696";"   93023";"   26377"
"Prices of 2015";"2011 2nd quarter";"  275610";"  170919";"  105530";"   76431";"   27909";"  275610";"  157448";"  122949";"   78111";"   44845";"   34583";"   27440";"    7146";"    -226";"  118458";"   90584";"   27758"
"Prices of 2015";"2011 3rd quarter";"  269274";"  165261";"  104525";"   75111";"   29306";"  269274";"  151194";"  120337";"   78545";"   41797";"   30323";"   23736";"    6578";"     530";"  118541";"   90694";"   27649"
"Prices of 2015";"2011 4th quarter";"  276877";"  171771";"  105802";"   76833";"   28855";"  276877";"  153968";"  122067";"   76512";"   45560";"   32777";"   26242";"    6529";"    -878";"  123362";"   93520";"   29647"
"Prices of 2015";"2011";" 1092229";"  675077";"  419728";"  305978";"  112199";" 1092229";"  614061";"  483634";"  310147";"  173508";"  131422";"  104193";"   27223";"   -1122";"  480061";"  367836";"  111424"
"Prices of 2015";"2012 1st quarter";"  269883";"  165212";"  104953";"   79015";"   25799";"  269883";"  148321";"  117492";"   76582";"   40931";"   31257";"   25218";"    6015";"    -571";"  122101";"   95049";"   26739"
"Prices of 2015";"2012 2nd quarter";"  278406";"  169966";"  109112";"   79126";"   28746";"  278406";"  155443";"  121614";"   77453";"   44171";"   33038";"   26722";"    6299";"     648";"  123053";"   93558";"   29407"
"Prices of 2015";"2012 3rd quarter";"  268548";"  163254";"  105693";"   75747";"   29859";"  268548";"  147674";"  118905";"   77688";"   41223";"   28355";"   21925";"    6425";"     447";"  121181";"   92180";"   28830"
"Prices of 2015";"2012 4th quarter";"  278222";"  169669";"  109029";"   79422";"   29467";"  278222";"  149024";"  120074";"   74896";"   45183";"   30270";"   23920";"    6350";"   -1248";"  129368";"   98471";"   30668"
"Prices of 2015";"2012";" 1095060";"  668121";"  428898";"  313344";"  113896";" 1095060";"  600448";"  478087";"  306608";"  171500";"  123135";"   98026";"   25093";"    -723";"  495705";"  379272";"  115640"
"Prices of 2015";"2013 1st quarter";"  266941";"  162340";"  104791";"   78577";"   26119";"  266941";"  142454";"  115977";"   74858";"   41119";"   28107";"   22242";"    5859";"   -1653";"  124737";"   96482";"   27993"
"Prices of 2015";"2013 2nd quarter";"  278465";"  169046";"  110020";"   79988";"   28753";"  278465";"  153010";"  120473";"   76210";"   44258";"   30781";"   24590";"    6183";"    1598";"  125382";"   95726";"   29533"
